python,javascript,html_css,sql,problem_solving,ml_ai,design,networking,devops,communication,role
0.836,0.622,0.129,0.955,0.807,0.128,0.0,0.172,0.453,0.779,Backend Developer
0.54,0.114,0.079,0.906,0.306,0.113,0.0,0.0,0.083,0.853,Data Analyst
0.261,0.09,0.042,0.22,0.429,0.0,0.035,0.847,0.334,0.199,System Administrator
0.152,0.222,0.975,0.14,0.606,0.064,0.995,0.0,0.043,0.751,UI/UX Designer
0.117,0.762,0.947,0.193,0.726,0.09,0.786,0.172,0.16,0.654,Frontend Developer
0.0,0.305,0.701,0.171,0.46,0.051,0.933,0.057,0.016,1.0,UI/UX Designer
0.176,0.961,0.944,0.354,0.278,0.049,0.858,0.0,0.0,0.223,Frontend Developer
0.0,0.871,0.253,0.893,0.673,0.186,0.428,0.097,0.44,0.486,Mobile App Developer
0.004,0.478,0.423,0.122,0.478,0.002,0.609,0.018,0.0,0.438,UI/UX Designer
0.504,0.402,0.155,0.268,0.565,0.286,0.059,0.693,0.916,0.44,DevOps Engineer
0.718,0.046,0.176,0.447,0.749,0.187,0.058,0.668,0.983,0.824,DevOps Engineer
0.14,0.233,0.0,0.679,0.693,0.0,0.0,0.0,0.101,0.189,Database Administrator
0.422,0.37,0.179,0.469,0.739,0.0,0.0,0.282,0.397,0.457,QA / Test Engineer
0.755,0.32,0.0,0.318,0.745,0.031,0.003,0.747,0.569,0.368,Cybersecurity Analyst
0.078,0.224,0.786,0.001,0.302,0.007,1.0,0.034,0.014,0.844,UI/UX Designer
0.837,0.872,0.834,0.783,0.847,0.065,0.269,0.238,0.742,0.296,Full Stack Developer
0.183,0.042,0.109,0.058,0.854,0.0,0.0,0.966,0.256,0.463,Cybersecurity Analyst
0.594,0.474,0.7,0.161,0.484,0.037,0.654,0.155,0.262,0.486,Full Stack Developer
0.589,0.267,0.375,0.37,0.698,0.026,0.088,0.118,0.403,0.596,QA / Test Engineer
0.878,0.0,0.0,0.701,0.884,1.0,0.062,0.026,0.238,0.304,Data Scientist
0.665,0.156,0.049,0.157,0.893,0.038,0.0,0.906,0.366,0.204,Cybersecurity Analyst
0.904,0.27,0.0,0.798,0.796,0.207,0.096,0.36,0.264,0.077,Backend Developer
0.88,0.488,0.066,0.905,0.844,0.155,0.16,0.095,0.29,0.273,Backend Developer
0.108,0.82,0.699,0.42,0.732,0.104,0.747,0.0,0.199,0.619,Mobile App Developer
0.634,0.626,0.877,0.724,0.604,0.08,0.409,0.092,0.216,0.813,Full Stack Developer
0.0,0.342,0.176,0.197,0.827,0.04,0.152,0.0,0.2,0.372,QA / Test Engineer
0.963,0.212,0.153,1.0,0.852,0.31,0.065,0.317,0.717,0.579,Backend Developer
0.664,0.044,0.059,0.238,0.863,0.14,0.118,1.0,0.426,0.578,Cybersecurity Analyst
0.215,0.858,0.509,0.33,0.69,0.044,0.991,0.0,0.279,0.505,Mobile App Developer
0.685,0.099,0.059,0.62,0.64,0.072,0.052,0.84,0.877,0.281,DevOps Engineer
0.572,0.0,0.123,0.341,0.713,0.031,0.009,0.753,0.554,0.501,System Administrator
0.292,0.465,0.361,0.467,0.57,0.0,0.474,0.116,0.356,0.557,Full Stack Developer
0.275,0.048,0.003,0.998,0.875,0.0,0.03,0.159,0.134,0.274,Database Administrator
0.71,0.156,0.105,0.981,0.912,0.15,0.112,0.558,0.36,0.232,Database Administrator
0.371,0.089,0.05,0.164,0.706,0.079,0.265,0.96,0.574,0.207,Network Engineer
0.797,0.26,0.028,0.703,1.0,0.74,0.217,0.026,0.171,0.614,Data Scientist
0.79,0.153,0.082,0.468,0.818,0.082,0.116,0.495,0.892,0.599,DevOps Engineer
0.575,0.0,0.178,0.908,0.57,0.177,0.0,0.344,0.319,0.459,Database Administrator
0.634,0.237,0.037,0.98,0.816,0.009,0.009,0.301,0.311,0.204,Database Administrator
0.838,0.282,0.039,0.358,0.864,0.17,0.038,0.786,1.0,0.677,DevOps Engineer
0.853,0.368,0.668,0.74,0.922,0.46,0.28,0.579,0.227,0.742,Backend Developer
0.69,0.296,0.0,0.522,0.901,0.059,0.126,0.112,0.164,0.916,QA / Test Engineer
0.338,0.008,0.192,0.718,0.41,0.048,0.094,0.482,0.145,0.419,Backend Developer
0.854,0.862,0.757,0.434,0.834,0.151,0.88,0.11,0.446,0.696,Full Stack Developer
0.967,0.201,0.0,0.69,0.924,0.94,0.569,0.0,0.143,0.358,Data Scientist
0.522,0.089,0.069,0.568,0.557,0.171,0.064,0.73,0.928,0.63,Cloud Engineer
0.682,0.074,0.203,0.293,0.882,0.1,0.152,0.744,0.976,0.566,DevOps Engineer
0.624,0.286,0.075,0.997,0.581,0.174,0.034,0.693,0.463,0.233,Database Administrator
0.356,0.133,0.054,0.701,0.865,0.0,0.037,0.883,0.195,0.309,Cybersecurity Analyst
0.969,0.12,0.004,0.356,0.934,0.985,0.0,0.108,0.428,0.537,ML Engineer
0.036,0.01,0.074,0.0,0.313,0.031,0.032,0.986,0.328,0.498,Network Engineer
0.911,0.0,0.002,0.96,0.847,0.0,0.0,0.182,0.51,0.238,Backend Developer
0.318,0.097,0.131,0.328,0.836,0.118,0.06,0.698,1.0,0.233,DevOps Engineer
0.324,0.92,0.966,0.193,0.722,0.0,0.71,0.0,0.01,0.603,Frontend Developer
0.0,0.826,0.905,0.305,0.469,0.046,0.882,0.132,0.279,0.797,Frontend Developer
0.595,0.254,0.029,0.528,0.859,0.043,0.008,0.809,0.488,0.497,Cybersecurity Analyst
0.412,0.791,0.508,0.108,0.931,0.092,0.611,0.217,0.219,0.397,Mobile App Developer
0.583,0.248,0.221,0.322,0.646,0.0,0.041,0.403,0.786,0.532,DevOps Engineer
0.865,0.304,0.225,0.964,0.705,0.351,0.885,0.25,0.127,0.753,Data Analyst
0.806,0.212,0.026,0.318,0.722,0.067,0.091,0.206,0.581,0.571,QA / Test Engineer
0.037,0.962,1.0,0.263,0.66,0.15,0.849,0.016,0.101,0.585,Frontend Developer
0.666,0.261,0.244,0.902,0.771,0.475,0.44,0.012,0.0,0.619,Data Analyst
0.021,0.943,0.821,0.31,0.821,0.094,0.832,0.093,0.172,0.506,Mobile App Developer
0.49,0.091,0.065,0.434,0.633,0.038,0.09,0.918,0.963,0.255,Cloud Engineer
0.589,0.077,0.093,0.669,0.615,0.032,0.044,0.663,0.953,0.318,DevOps Engineer
0.863,0.248,0.0,1.0,0.796,0.373,0.295,0.0,0.0,0.736,Data Analyst
0.103,0.187,0.816,0.0,0.599,0.021,0.936,0.006,0.069,0.829,UI/UX Designer
0.551,0.744,0.717,0.699,0.809,0.059,0.662,0.154,0.664,0.301,Full Stack Developer
0.358,0.721,0.292,0.508,0.869,0.099,0.033,0.249,0.422,0.516,QA / Test Engineer
0.181,0.069,0.004,0.138,0.504,0.023,0.065,0.849,0.52,0.52,Network Engineer
0.826,0.882,0.817,0.769,0.701,0.027,0.508,0.183,0.507,0.616,Full Stack Developer
0.148,0.112,0.815,0.223,0.461,0.127,0.976,0.03,0.083,0.884,UI/UX Designer
0.026,0.815,0.912,0.369,0.506,0.123,0.717,0.16,0.251,0.466,Frontend Developer
0.372,0.364,0.035,0.526,0.481,0.143,0.0,0.504,0.53,0.147,Cloud Engineer
0.124,0.274,0.635,0.097,0.51,0.074,0.992,0.137,0.0,1.0,UI/UX Designer
0.402,0.269,0.176,0.414,0.794,0.059,0.018,0.74,0.871,0.511,Cloud Engineer
0.683,0.451,0.422,0.615,0.768,0.07,0.05,0.019,0.378,0.506,QA / Test Engineer
0.78,0.029,0.073,0.452,0.53,0.001,0.065,0.487,0.728,0.439,System Administrator
0.562,0.04,0.032,0.924,0.761,0.0,0.087,0.426,0.496,0.42,Database Administrator
1.0,0.176,0.028,0.397,0.943,0.984,0.0,0.248,0.425,0.363,ML Engineer
0.468,0.093,0.07,0.227,0.854,0.072,0.0,0.958,1.0,0.269,DevOps Engineer
0.128,0.879,0.198,0.254,0.497,0.08,0.502,0.025,0.031,0.426,Mobile App Developer
0.359,0.225,0.084,0.161,0.951,0.054,0.005,0.936,0.244,0.493,Cybersecurity Analyst
0.611,0.776,0.658,0.577,0.61,0.0,0.565,0.151,0.328,0.498,Full Stack Developer
0.24,0.05,0.022,0.116,0.351,0.003,0.036,0.958,0.284,0.302,System Administrator
0.772,0.8,0.771,0.439,0.847,0.0,0.158,0.0,0.127,0.38,Full Stack Developer
0.268,0.0,0.078,0.216,0.739,0.026,0.021,1.0,0.51,0.268,Network Engineer
0.26,0.272,0.286,0.261,0.778,0.017,0.139,0.368,0.556,0.283,QA / Test Engineer
0.993,0.766,0.557,0.711,0.774,0.254,0.637,0.272,0.584,0.365,Full Stack Developer
0.709,0.792,0.926,0.554,0.439,0.299,0.361,0.403,0.709,0.537,Full Stack Developer
0.944,0.055,0.105,0.515,1.0,0.911,0.153,0.063,0.171,1.0,Data Scientist
0.0,0.275,0.569,0.134,0.673,0.04,0.956,0.041,0.076,0.809,UI/UX Designer
0.156,0.016,0.102,0.954,0.489,0.083,0.012,0.261,0.351,0.488,Database Administrator
1.0,0.036,0.024,0.75,0.929,1.0,0.196,0.004,0.087,0.428,Data Scientist
0.425,0.005,0.0,0.435,0.695,0.072,0.0,0.789,0.76,0.815,System Administrator
0.926,0.121,0.04,0.295,0.963,0.943,0.066,0.165,0.725,0.53,ML Engineer
0.09,0.892,0.995,0.266,0.452,0.037,0.813,0.012,0.109,0.427,Frontend Developer
0.777,0.264,0.064,0.528,0.647,0.081,0.047,0.785,0.916,0.508,DevOps Engineer
0.678,0.177,0.131,0.786,0.961,0.038,0.076,0.811,0.493,0.716,Cybersecurity Analyst
0.294,0.066,0.0,0.388,0.655,0.016,0.021,0.949,0.374,0.298,Network Engineer
0.0,0.835,0.267,0.298,0.317,0.066,0.527,0.177,0.275,0.207,Mobile App Developer
0.291,0.113,0.129,0.545,0.821,0.305,0.124,0.983,0.563,0.517,Network Engineer
0.46,0.095,0.072,0.969,0.844,0.073,0.104,0.335,0.263,0.373,Database Administrator
0.407,0.247,0.0,0.412,0.556,0.035,0.069,0.853,0.655,0.741,System Administrator
0.109,0.587,0.845,0.255,0.307,0.105,0.918,0.022,0.02,0.953,UI/UX Designer
0.44,0.046,0.032,0.542,0.87,0.075,0.008,0.747,0.692,0.395,System Administrator
0.268,0.04,0.099,0.284,0.723,0.053,0.019,1.0,0.615,0.404,Network Engineer
0.324,0.0,0.0,0.576,0.737,0.033,0.064,0.779,0.536,0.7,System Administrator
0.924,0.258,0.012,0.44,0.832,0.97,0.06,0.0,0.694,0.771,ML Engineer
0.613,0.459,0.595,0.593,0.617,0.249,0.605,0.307,0.234,0.394,Full Stack Developer
0.79,0.193,0.0,0.677,0.627,0.531,0.003,0.09,0.0,0.509,ML Engineer
0.428,0.252,0.12,0.714,0.826,0.054,0.0,1.0,0.614,0.318,Cybersecurity Analyst
0.127,0.879,0.74,0.358,0.735,0.035,0.618,0.161,0.085,0.871,Mobile App Developer
0.315,0.0,0.034,0.177,0.409,0.058,0.035,1.0,0.435,0.275,Network Engineer
0.908,0.193,0.052,0.514,0.957,0.923,0.088,0.0,0.505,0.67,ML Engineer
0.475,0.037,0.0,0.835,0.674,0.331,0.376,0.005,0.066,0.849,Data Analyst
0.849,0.611,0.654,0.6,0.679,0.161,0.396,0.285,0.54,0.563,Full Stack Developer
0.166,0.008,0.057,0.081,0.557,0.017,0.035,0.953,0.362,0.633,Network Engineer
0.185,0.273,0.13,0.27,0.877,0.01,0.163,0.188,0.278,0.451,QA / Test Engineer
0.21,0.911,0.877,0.199,0.606,0.089,0.841,0.0,0.155,0.902,Frontend Developer
0.593,0.158,0.137,0.433,0.791,0.041,0.017,0.754,0.773,0.534,Cloud Engineer
0.626,0.214,0.001,0.27,0.741,0.063,0.047,0.944,0.677,0.753,System Administrator
0.61,0.143,0.125,0.386,0.757,0.067,0.118,0.551,0.427,0.274,Cybersecurity Analyst
0.936,0.465,0.061,0.98,0.978,0.105,0.026,0.454,0.348,0.094,Backend Developer
0.222,0.064,0.0,0.0,0.221,0.028,0.033,0.91,0.435,0.12,System Administrator
0.207,0.014,0.0,0.636,0.325,0.143,0.0,0.0,0.438,0.222,Database Administrator
0.587,0.478,0.22,0.6,0.502,0.037,0.142,0.288,0.137,0.673,QA / Test Engineer
0.934,0.025,0.034,0.58,0.913,0.934,0.025,0.183,0.629,0.446,ML Engineer
0.424,0.179,0.044,0.972,0.805,0.0,0.016,0.291,0.463,0.613,Database Administrator
0.729,0.381,0.563,0.313,0.566,0.075,0.117,0.0,0.252,0.139,Full Stack Developer
0.089,0.414,0.757,0.056,0.489,0.044,0.914,0.0,0.037,0.72,UI/UX Designer
0.48,0.039,0.0,0.273,0.254,0.002,0.046,0.764,0.63,0.326,Network Engineer
0.367,0.144,0.025,0.249,0.572,0.044,0.052,0.931,0.466,0.698,Network Engineer
0.784,0.806,0.838,0.468,0.748,0.173,0.144,0.143,0.156,0.373,Full Stack Developer
0.37,0.091,0.03,0.433,0.797,0.0,0.0,0.726,0.831,0.689,System Administrator
0.844,0.105,0.231,0.133,0.911,0.244,0.107,0.717,0.58,0.39,Cybersecurity Analyst
0.979,0.062,0.021,0.658,1.0,0.898,0.0,0.076,0.069,0.218,ML Engineer
0.987,0.402,0.137,0.708,0.809,0.129,0.129,0.513,0.499,0.688,Backend Developer
0.714,0.213,0.065,0.803,0.558,0.35,0.011,0.042,0.042,0.85,Data Analyst
0.559,0.0,0.226,0.955,0.7,0.234,0.433,0.142,0.046,0.644,Data Analyst
0.233,0.916,0.649,0.413,0.691,0.079,0.602,0.01,0.253,0.643,Mobile App Developer
0.615,0.019,0.049,0.5,0.581,0.748,0.0,0.006,0.273,0.483,Data Scientist
0.397,0.987,0.823,0.217,0.667,0.084,0.754,0.055,0.09,0.505,Mobile App Developer
0.546,0.673,0.759,0.585,0.864,0.215,0.454,0.196,0.261,0.419,Full Stack Developer
1.0,0.114,0.04,0.322,0.995,0.923,0.046,0.167,0.475,0.487,ML Engineer
0.754,0.224,0.026,0.137,0.751,0.064,0.029,0.778,1.0,0.664,Cloud Engineer
0.924,0.211,0.042,0.853,0.877,0.825,0.0,0.0,0.205,0.714,Data Scientist
0.197,0.057,0.031,1.0,0.702,0.079,0.0,0.249,0.255,0.294,Database Administrator
0.826,0.0,0.062,0.706,0.698,0.07,0.051,0.885,1.0,0.304,Cloud Engineer
0.296,0.366,0.205,0.411,0.786,0.002,0.105,0.0,0.266,0.551,QA / Test Engineer
0.037,0.801,0.2,0.093,0.48,0.063,0.45,0.075,0.16,0.294,Mobile App Developer
0.119,0.405,0.739,0.0,0.338,0.01,0.989,0.068,0.036,0.685,UI/UX Designer
0.681,0.263,0.158,0.747,0.879,0.271,0.16,0.258,0.364,0.493,Backend Developer
0.198,0.845,0.492,0.219,0.751,0.328,0.77,0.46,0.078,0.348,Mobile App Developer
0.315,0.351,0.019,0.76,0.964,0.352,0.114,0.0,0.079,0.906,Data Analyst
0.94,0.093,0.079,0.66,0.938,0.902,0.03,0.09,0.383,0.245,ML Engineer
0.934,0.123,0.029,0.633,0.961,1.0,0.125,0.196,0.618,0.207,ML Engineer
0.117,0.412,0.848,0.127,0.484,0.0,0.927,0.119,0.0,0.758,UI/UX Designer
0.86,0.24,0.087,0.895,0.814,0.163,0.089,0.331,0.174,0.255,Backend Developer
0.895,0.246,0.0,0.574,0.924,0.936,0.165,0.182,0.625,0.267,ML Engineer
0.194,0.886,0.405,0.167,0.332,0.0,0.497,0.007,0.19,0.371,Mobile App Developer
0.659,0.202,0.0,0.866,0.643,0.5,0.006,0.014,0.123,0.873,Data Analyst
0.301,0.827,0.332,0.167,0.591,0.153,0.561,0.0,0.215,0.871,Mobile App Developer
0.0,0.019,0.037,0.337,0.353,0.038,0.058,0.958,0.298,0.182,Network Engineer
0.639,0.0,0.032,0.494,0.924,0.026,0.053,0.622,0.851,0.487,Cloud Engineer
0.81,0.072,0.001,0.342,0.517,0.045,0.085,1.0,0.497,0.205,System Administrator
0.567,0.235,0.164,0.276,0.388,0.0,0.046,0.411,0.593,0.581,DevOps Engineer
0.275,0.061,0.065,0.657,0.696,0.032,0.12,1.0,0.454,0.254,Network Engineer
0.608,0.865,0.832,0.857,0.766,0.023,0.858,0.096,0.318,0.393,Full Stack Developer
0.0,0.812,0.896,0.371,0.769,0.056,0.889,0.024,0.137,0.54,Frontend Developer
0.593,0.124,0.0,0.367,0.828,0.119,0.056,0.88,0.912,0.443,Cloud Engineer
0.025,0.261,0.877,0.11,0.253,0.061,0.971,0.0,0.031,0.913,UI/UX Designer
0.433,0.129,0.07,1.0,0.746,0.067,0.034,0.635,0.695,0.345,Database Administrator
0.638,0.203,0.093,0.371,0.697,0.108,0.058,0.84,0.543,0.37,Cybersecurity Analyst
0.501,0.0,0.008,0.304,0.616,0.079,0.01,0.935,0.282,1.0,Network Engineer
0.021,0.134,0.064,0.471,0.388,0.0,0.054,0.423,0.645,0.524,Cloud Engineer
0.799,0.272,0.193,0.657,0.712,0.127,0.0,0.709,0.827,0.355,DevOps Engineer
0.76,0.949,0.5,0.516,0.76,0.025,0.541,0.104,0.427,0.404,Full Stack Developer
0.482,0.748,0.301,0.415,0.74,0.006,0.037,0.079,0.41,0.501,QA / Test Engineer
0.243,0.061,0.034,0.056,0.76,0.038,0.038,1.0,0.86,0.331,Network Engineer
0.762,0.686,0.776,0.603,0.786,0.205,0.665,0.307,0.144,0.743,Full Stack Developer
1.0,0.0,0.055,0.781,0.927,0.987,0.036,0.0,0.061,0.368,Data Scientist
0.315,0.002,0.036,1.0,0.608,0.125,0.169,0.724,0.706,0.503,System Administrator
0.572,0.278,0.086,0.193,0.941,0.111,0.0,0.544,0.937,0.421,DevOps Engineer
0.295,0.0,0.185,0.75,0.46,0.725,0.0,0.0,0.0,0.39,Data Analyst
0.275,0.274,0.172,0.589,0.977,0.033,0.225,0.177,0.317,0.665,QA / Test Engineer
0.463,0.004,0.062,0.219,0.8,0.095,0.026,0.707,0.558,0.433,System Administrator
0.935,0.024,0.18,0.689,0.865,0.921,0.0,0.345,0.465,0.555,ML Engineer
0.458,0.182,0.455,0.271,0.93,0.055,0.029,0.0,0.389,0.685,QA / Test Engineer
0.0,0.517,1.0,0.091,0.828,0.003,0.89,0.049,0.086,0.987,UI/UX Designer
0.685,0.204,0.0,0.19,0.788,0.252,0.006,0.911,0.833,0.425,Cloud Engineer
0.146,0.767,0.303,0.437,0.739,0.075,0.628,0.172,0.193,0.52,Mobile App Developer
0.784,0.898,0.779,0.507,0.765,0.087,0.276,0.303,0.24,0.238,Full Stack Developer
0.0,0.548,0.941,0.065,0.583,0.103,0.317,0.341,0.149,0.149,Frontend Developer
0.794,0.17,0.254,0.822,0.683,0.605,0.23,0.094,0.0,0.587,Data Analyst
0.95,0.029,0.03,0.616,0.958,0.951,0.029,0.036,0.137,0.396,ML Engineer
0.431,0.168,0.088,0.683,0.774,0.007,0.096,0.884,0.477,0.549,Cybersecurity Analyst
0.343,0.124,0.0,0.177,0.915,0.0,0.001,1.0,0.755,0.695,System Administrator
0.0,0.028,0.041,0.089,0.485,0.078,0.02,0.639,0.323,0.12,Network Engineer
0.138,0.931,0.904,0.094,0.608,0.079,0.798,0.108,0.271,0.525,Frontend Developer
0.192,0.046,0.047,1.0,0.774,0.0,0.007,0.311,0.413,0.382,Database Administrator
0.177,0.662,0.846,0.303,0.619,0.191,0.626,0.058,0.341,0.428,Mobile App Developer
0.307,0.032,0.0,0.909,0.325,0.353,0.442,0.0,0.075,0.836,Data Analyst
0.226,0.0,0.013,0.25,0.903,0.001,0.069,0.98,0.749,0.373,Network Engineer
0.384,0.0,0.14,0.528,0.578,0.0,0.079,0.174,0.497,0.387,DevOps Engineer
0.382,0.888,0.241,0.445,0.402,0.101,0.258,0.001,0.114,0.308,Mobile App Developer
0.401,0.026,0.125,0.39,0.832,0.081,0.0,0.822,0.929,0.205,Cloud Engineer
0.713,0.924,0.701,0.699,0.765,0.307,0.946,0.18,0.558,0.294,Full Stack Developer
0.947,0.185,0.071,0.369,0.872,0.951,0.027,0.182,0.34,0.522,ML Engineer
0.286,0.653,0.324,0.325,0.382,0.119,0.526,0.167,0.19,0.203,Mobile App Developer
0.695,0.015,0.1,0.643,0.778,0.173,0.06,0.581,0.848,0.459,DevOps Engineer
0.178,0.905,0.95,0.103,0.688,0.324,0.831,0.186,0.491,0.672,Frontend Developer
0.0,0.944,1.0,0.246,0.604,0.0,0.731,0.0,0.126,0.821,Frontend Developer
0.428,0.13,0.037,0.63,0.725,0.067,0.079,0.922,0.737,0.249,System Administrator
0.822,0.741,0.866,0.285,0.736,0.117,0.424,0.339,0.323,0.352,Full Stack Developer
0.948,0.579,0.111,0.928,0.735,0.077,0.098,0.513,0.403,0.503,Backend Developer
0.986,0.031,0.01,0.29,1.0,0.954,0.045,0.0,0.223,0.344,ML Engineer
0.961,0.367,0.056,0.588,0.802,0.888,0.174,0.091,0.187,0.39,Data Scientist
0.715,0.747,0.732,0.752,0.626,0.029,0.165,0.239,0.517,0.568,Full Stack Developer
0.247,0.187,0.011,0.971,0.861,0.064,0.053,0.342,0.384,0.183,Database Administrator
0.122,0.023,0.056,0.079,0.523,0.064,0.066,0.975,0.525,0.548,Network Engineer
0.525,0.109,0.04,0.412,0.958,0.002,0.052,1.0,0.192,0.194,Cybersecurity Analyst
0.392,0.008,0.07,0.929,0.82,0.016,0.0,0.523,0.291,0.508,Database Administrator
0.938,0.066,0.122,0.573,0.861,1.0,0.03,0.025,0.38,0.525,ML Engineer
0.179,0.969,1.0,0.004,0.726,0.113,0.786,0.148,0.212,0.749,Frontend Developer
0.732,0.226,0.053,0.605,0.808,0.0,0.054,0.901,0.337,0.601,Cybersecurity Analyst
0.689,0.077,0.089,0.196,0.566,0.05,0.052,0.552,0.966,0.485,DevOps Engineer
0.099,0.852,0.866,0.399,0.478,0.124,0.638,0.216,0.254,0.728,Frontend Developer
0.969,0.183,0.0,0.448,0.961,0.994,0.0,0.019,0.246,0.298,ML Engineer
0.944,0.702,0.875,0.697,0.795,0.095,0.715,0.258,0.283,0.508,Full Stack Developer
0.0,0.152,0.818,0.012,0.426,0.014,0.87,0.0,0.084,0.878,UI/UX Designer
0.933,0.246,0.0,0.605,1.0,0.917,0.171,0.007,0.0,0.478,Data Scientist
0.982,0.036,0.118,0.739,0.789,0.853,0.04,0.013,0.177,0.477,Data Scientist
0.525,0.131,0.033,0.418,0.65,0.186,0.005,0.852,0.826,0.276,Cloud Engineer
0.812,0.146,0.078,0.292,0.702,0.152,0.036,0.969,0.955,0.309,DevOps Engineer
0.927,0.0,0.118,0.55,0.965,0.874,0.159,0.302,0.65,0.351,ML Engineer
0.525,0.246,0.0,0.979,0.827,0.235,0.094,0.38,0.388,0.787,Database Administrator
0.224,0.21,0.0,0.603,0.467,0.133,0.121,0.148,0.0,0.406,Data Analyst
0.387,0.095,0.059,0.195,0.774,0.058,0.026,1.0,0.639,0.587,Network Engineer
1.0,0.0,0.035,0.544,1.0,0.924,0.075,0.034,0.21,0.635,Data Scientist
0.567,0.037,0.126,0.743,0.632,0.201,0.048,0.973,0.513,0.926,Network Engineer
0.37,0.086,0.069,0.084,0.717,0.0,0.0,0.962,0.447,0.109,Network Engineer
0.895,0.476,0.0,0.705,0.814,0.222,0.0,0.193,0.45,0.577,Backend Developer
0.019,0.815,0.795,0.519,0.473,0.189,1.0,0.227,0.073,0.792,Frontend Developer
0.045,0.0,0.02,0.325,0.48,0.026,0.001,1.0,0.193,0.196,Network Engineer
0.923,0.229,0.112,0.859,0.939,0.958,0.131,0.217,0.848,0.649,ML Engineer
0.383,0.056,0.038,0.912,0.628,0.068,0.0,0.499,0.28,0.251,Database Administrator
0.448,0.248,0.017,0.136,0.609,0.045,0.046,0.602,0.264,0.0,Cybersecurity Analyst
0.19,0.0,0.089,0.914,0.975,0.031,0.0,0.441,0.455,0.288,Database Administrator
0.594,0.031,0.077,0.321,0.46,0.047,0.103,0.554,1.0,0.778,Cloud Engineer
0.515,0.059,0.116,0.332,0.371,0.114,0.053,0.529,0.504,0.48,Cloud Engineer
0.714,0.609,0.339,0.707,0.83,0.16,0.344,0.382,0.498,0.84,QA / Test Engineer
0.218,0.169,0.0,0.901,0.619,0.009,0.096,0.418,0.178,0.383,Database Administrator
0.894,0.181,0.0,0.733,0.9,0.131,0.087,0.56,0.094,0.173,Backend Developer
0.117,0.124,0.065,0.021,0.777,0.0,0.052,0.986,0.677,0.459,Network Engineer
0.986,0.078,0.054,0.775,0.733,0.827,0.122,0.072,0.014,0.609,Data Scientist
0.581,0.266,0.25,0.636,0.517,0.195,0.197,0.674,0.845,0.59,Cloud Engineer
0.68,0.161,0.006,0.352,0.707,0.042,0.053,0.761,0.945,0.483,DevOps Engineer
0.364,0.143,0.059,0.909,0.808,0.061,0.083,0.343,0.418,0.234,Database Administrator
0.431,0.0,0.007,0.133,0.678,0.024,0.053,0.997,0.625,0.515,Network Engineer
0.646,0.0,0.0,0.238,0.657,0.655,0.019,0.0,0.118,0.494,ML Engineer
0.266,0.212,0.003,1.0,0.764,0.041,0.053,0.468,0.406,0.653,Database Administrator
0.0,0.932,1.0,0.167,0.545,0.105,0.987,0.146,0.17,0.796,Frontend Developer
0.399,0.094,0.095,0.978,0.766,0.004,0.028,0.248,0.628,0.439,Database Administrator
0.808,0.743,0.362,0.772,0.938,0.293,0.252,0.323,0.39,0.637,Backend Developer
